Широта;Долгота;Описание;Подпись;"Номер метки"
55.8462953;37.3524399;"Школа № 1747";"Школа № 1747";217
55.7788528;37.5140737;"Школа № 141 имени Героя Советского Союза Рихарда Зорге";"Школа № 141 имени Героя Советского Союза Рихарда Зорге";218
55.6664896;37.4555792;"Школа № 1741";"Школа № 1741";219
55.8038261;37.8153779;"Школа № 356 имени Н.З. Коляды";"Школа № 356 имени Н.З. Коляды";220
55.8932122;37.6219714;"Училище олимпийского резерва № 4 им. А.Я. Гомельского";"Училище олимпийского резерва № 4 им. А.Я. Гомельского";221
55.676844;37.554376;"Школа № 1205";"Школа № 1205";222
55.6881691;37.9231748;"Школа в Некрасовке (№ 1595)";"Школа в Некрасовке (№ 1595)";223
55.7897144;37.6847019;"Школа № 1282 Сокольники";"Школа № 1282 Сокольники";224
55.8840152;37.7133136;"Московский колледж архитектуры и градостроительства";"Московский колледж архитектуры и градостроительства";225
55.8956799;37.6161528;"Школа Глория";"Школа Глория";226
55.74186;37.872101;"Школа № 1591";"Школа № 1591";227
55.6901758;37.5715952;"Школа № 199";"Школа № 199";228
55.812702;37.702026;"Школа № 1360";"Школа № 1360";229
55.8054949;37.5006982;"Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова";"Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова";230
55.6838149;37.8478391;"Школа № 1793 имени Героя Советского Союза А.К. Новикова";"Школа № 1793 имени Героя Советского Союза А.К. Новикова";231
55.6463773;37.6591265;"Школа № 1579";"Школа № 1579";232
55.7404491;37.4953478;"Школа Интеграл";"Школа Интеграл";233
55.7377015;37.4953616;"Центр образования № 1816 (СП СОШ Интеграл)";"Центр образования № 1816 (СП СОШ Интеграл)";234
55.7092495;37.5135386;"Школа № 1586";"Школа № 1586";235
55.6265314;37.7234189;"Школа № 996";"Школа № 996";236
55.6726615;37.4927184;"Школа № 324 Жар-птица";"Школа № 324 Жар-птица";237
55.6821242;37.6273856;"Московское государственное хореографическое училище (МГХУ) им. Л.М.Лавровского";"Московское государственное хореографическое училище (МГХУ) им. Л.М.Лавровского";238
55.8228863;37.5293973;"Школа № 1576";"Школа № 1576";239
55.5325098;37.5287511;"Школа № 1980";"Школа № 1980";240
55.6700184;37.549065;"Школа № 121";"Школа № 121";241
55.5738638;37.5866155;"Школа № 1613";"Школа № 1613";242
55.7116339;37.7668336;"Школа на Юго-Востоке имени Маршала В.И. Чуйкова";"Школа на Юго-Востоке имени Маршала В.И. Чуйкова";243
55.7519258;37.6790769;"Московский Химический Лицей № 1303 (СП СОШ на Юго-Востоке)";"Московский Химический Лицей № 1303 (СП СОШ на Юго-Востоке)";244
55.7620773;37.4136717;"Школа № 1371 Крылатское";"Школа № 1371 Крылатское";245
55.5405124;37.5779044;"Школа № 1355";"Школа № 1355";246
55.5334634;37.5027642;"Школа № 1368";"Школа № 1368";247
55.789158;37.57713;"Школа № 1570";"Школа № 1570";248
55.6637626;37.7674502;"Школа № 1423";"Школа № 1423";249
55.707588;37.823745;"Школа № 1363";"Школа № 1363";250
