Широта;Долгота;Описание;Подпись;"Номер метки"
55.6237311;37.7340428;"Школа № 534";"Школа № 534";171
55.7722521;37.6260899;"Школа № 2054";"Школа № 2054";172
55.7735596;37.5424561;"Школа № 1288 имени Героя Советского Союза Н.В. Троян";"Школа № 1288 имени Героя Советского Союза Н.В. Троян";173
55.7424944;37.7627936;"Школа № 2126 Перово";"Школа № 2126 Перово";174
55.8100094;37.4965098;"Школа № 1252 имени Сервантеса";"Школа № 1252 имени Сервантеса";175
55.63818;37.609146;"Школа № 1179";"Школа № 1179";176
55.7932125;37.6846957;"Школа № 1530 Школа Ломоносова";"Школа № 1530 Школа Ломоносова";177
55.8073029;37.8063656;"Школа № 2200";"Школа № 2200";178
55.7843616;37.5316265;"Школа № 1409";"Школа № 1409";179
55.565862;37.582366;"Школа № 2006";"Школа № 2006";180
55.7693075;37.6780612;"Школа № 354 имени Д.М. Карбышева";"Школа № 354 имени Д.М. Карбышева";181
55.7645487;37.4145978;"Школа № 1593";"Школа № 1593";182
55.73626;37.462694;"Школа № 2101";"Школа № 2101";183
55.6018721;37.54368;"Школа № 1561";"Школа № 1561";184
55.9849501;37.1922567;"Школа № 853";"Школа № 853";185
55.8594731;37.5928623;"Школа № 962";"Школа № 962";186
55.5481586;37.5638992;"Школа № 1354 Вектор";"Школа № 1354 Вектор";187
55.6312906;37.7592908;"Школа № 1034 имени Героя Советского Союза В.В. Маркина";"Школа № 1034 имени Героя Советского Союза В.В. Маркина";188
55.7897144;37.6847019;"Школа № 1282 Сокольники";"Школа № 1282 Сокольники";189
55.6363789;37.53241;"Школа № 17";"Школа № 17";190
55.6435123;37.7373654;"Школа № 1394 На набережной";"Школа № 1394 На набережной";191
55.8179936;37.6628574;"Школа № 1503";"Школа № 1503";192
55.6605575;37.7762555;"Школа № 1987";"Школа № 1987";193
55.5912084;37.6679799;"Школа № 902 Диалог";"Школа № 902 Диалог";194
55.7076844;37.771267;"Школа № 1208 имени Героя Советского Союза М.С. Шумилова";"Школа № 1208 имени Героя Советского Союза М.С. Шумилова";195
55.6729038;37.5044474;"Школа № 1541";"Школа № 1541";196
